end_of_period,loan_number,country___economy_code,loan_type,loan_status,interest_rate,project_id,project_name,original_principal_amount_ususd,cancelled_amount_ususd,undisbursed_amount_ususd,disbursed_amount_ususd,repaid_to_ibrd_ususd,due_to_ibrd_ususd,exchange_adjustment_ususd,borrowers_obligation_ususd,loans_held_ususd,first_repayment_date,last_repayment_date,effective_date_most_recent,origination_year,is_active,default_flag,year,gdp_growth,cpi_inflation,loan_to_gdp_growth_ratio,repayment_ratio,default_prob,sector,borrowers_obligation_inr,repaid_to_ibrd_inr,EAD_INR,PD,LGD,ECL_INR,gdp_growth_pp,cpi_inflation_pp,EAD,pd_stressed,pd_base
2023-06-30,IBRD94870,IN,FSL,SIGNED,0.0,P174593,AIRBMP,108000000.0,0.0,108000000.0,0.0,0.0,0.0,0.0,0.0,108000000.0,2027-07-15,2034-07-15,2023-09-09,2023,1,0,2023.0,9.190754930283447,5.64914318907925,0.011750938940188804,0.0,0.003136247523955191,Environment & Climate,0.0,0.0,2743840565.81,0.0035798740185981753,0.0,0.0,9.190754930283447,5.64914318907925,0.0,0.014322475665068748,0.003136247523955191
2023-07-31,IBRD94870,IN,FSL,DISBURSING,0.0,P174593,AIRBMP,108000000.0,0.0,107730000.0,270000.0,0.0,270000.0,0.0,270000.0,108000000.0,2027-07-15,2034-07-15,2023-07-28,2023,1,0,2023.0,9.190754930283447,5.64914318907925,0.011750938940188804,0.0,0.0028063732781438565,Environment & Climate,22410000.0,0.0,2743840565.81,0.0035798740185981753,0.0,0.0,9.190754930283447,5.64914318907925,270000.0,0.013992601419257414,0.0028063732781438565
2023-08-31,IBRD94870,IN,FSL,DISBURSING,0.0,P174593,AIRBMP,108000000.0,0.0,107730000.0,270000.0,0.0,270000.0,0.0,270000.0,108000000.0,2027-07-15,2034-07-15,2023-07-28,2023,1,0,2023.0,9.190754930283447,5.64914318907925,0.011750938940188804,0.0,0.0028063732781438565,Environment & Climate,22410000.0,0.0,2743840565.81,0.0035798740185981753,0.0,0.0,9.190754930283447,5.64914318907925,270000.0,0.013992601419257414,0.0028063732781438565
2023-09-30,IBRD94870,IN,FSL,DISBURSING,0.0,P174593,AIRBMP,108000000.0,0.0,102874908.9,5125091.15,0.0,5125091.15,0.0,5125091.15,108000000.0,2027-07-15,2034-07-15,2023-07-28,2023,1,0,2023.0,9.190754930283447,5.64914318907925,0.011750938940188804,0.0,0.0023473501424185373,Environment & Climate,425382565.45000005,0.0,2743840565.81,0.0035798740185981753,0.0,0.0,9.190754930283447,5.64914318907925,5125091.15,0.013533578283532095,0.0023473501424185373
2023-10-31,IBRD94870,IN,FSL,DISBURSING,0.0,P174593,AIRBMP,108000000.0,0.0,102874908.9,5125091.15,0.0,5125091.15,0.0,5125091.15,108000000.0,2027-07-15,2034-07-15,2023-07-28,2023,1,0,2023.0,9.190754930283447,5.64914318907925,0.011750938940188804,0.0,0.0023473501424185373,Environment & Climate,425382565.45000005,0.0,2743840565.81,0.0035798740185981753,0.0,0.0,9.190754930283447,5.64914318907925,5125091.15,0.013533578283532095,0.0023473501424185373
2023-11-30,IBRD94870,IN,FSL,DISBURSING,0.0,P174593,AIRBMP,108000000.0,0.0,102397529.3,5602470.75,0.0,5602470.75,0.0,5602470.75,108000000.0,2027-07-15,2034-07-15,2023-07-28,2023,1,0,2023.0,9.190754930283447,5.64914318907925,0.011750938940188804,0.0,0.0025361496642631693,Environment & Climate,465005072.25,0.0,2743840565.81,0.0035798740185981753,0.0,0.0,9.190754930283447,5.64914318907925,5602470.75,0.013722377805376726,0.0025361496642631693
2023-12-31,IBRD94870,IN,FSL,DISBURSING,0.0,P174593,AIRBMP,108000000.0,0.0,102397529.3,5602470.75,0.0,5602470.75,0.0,5602470.75,108000000.0,2027-07-15,2034-07-15,2023-07-28,2023,1,0,2023.0,9.190754930283447,5.64914318907925,0.011750938940188804,0.0,0.0025361496642631693,Environment & Climate,465005072.25,0.0,2743840565.81,0.0035798740185981753,0.0,0.0,9.190754930283447,5.64914318907925,5602470.75,0.013722377805376726,0.0025361496642631693
2024-01-31,IBRD94870,IN,FSL,DISBURSING,0.0,P174593,AIRBMP,108000000.0,0.0,102397529.3,5602470.75,0.0,5602470.75,0.0,5602470.75,108000000.0,2027-07-15,2034-07-15,2023-07-28,2023,1,0,2023.0,9.190754930283447,5.64914318907925,0.011750938940188804,0.0,0.0025361496642631693,Environment & Climate,465005072.25,0.0,2743840565.81,0.0035798740185981753,0.0,0.0,9.190754930283447,5.64914318907925,5602470.75,0.013722377805376726,0.0025361496642631693
2024-02-29,IBRD94870,IN,FSL,DISBURSING,0.0,P174593,AIRBMP,108000000.0,0.0,101978286.6,6021713.41,0.0,6021713.41,0.0,6021713.41,108000000.0,2027-07-15,2034-07-15,2023-07-28,2023,1,0,2023.0,9.190754930283447,5.64914318907925,0.011750938940188804,0.0,0.0025169209430384656,Environment & Climate,499802213.03000003,0.0,2743840565.81,0.0035798740185981753,0.0,0.0,9.190754930283447,5.64914318907925,6021713.41,0.013703149084152023,0.0025169209430384656
2024-03-31,IBRD94870,IN,FSL,DISBURSING,0.0,P174593,AIRBMP,108000000.0,0.0,99165629.66,8834370.34,0.0,8834370.34,0.0,8834370.34,108000000.0,2027-07-15,2034-07-15,2023-07-28,2023,1,0,2023.0,9.190754930283447,5.64914318907925,0.011750938940188804,0.0,0.002733798864157564,Environment & Climate,733252738.22,0.0,2743840565.81,0.0035798740185981753,0.0,0.0,9.190754930283447,5.64914318907925,8834370.34,0.013920027005271122,0.002733798864157564
2024-04-30,IBRD94870,IN,FSL,DISBURSING,0.0,P174593,AIRBMP,108000000.0,0.0,99165629.66,8834370.34,0.0,8834370.34,0.0,8834370.34,108000000.0,2027-07-15,2034-07-15,2023-07-28,2023,1,0,2023.0,9.190754930283447,5.64914318907925,0.011750938940188804,0.0,0.002733798864157564,Environment & Climate,733252738.22,0.0,2743840565.81,0.0035798740185981753,0.0,0.0,9.190754930283447,5.64914318907925,8834370.34,0.013920027005271122,0.002733798864157564
2024-05-31,IBRD94870,IN,FSL,DISBURSING,6.26,P174593,AIRBMP,108000000.0,0.0,97927767.47,10072232.53,0.0,10072232.53,0.0,10072232.53,108000000.0,2027-07-15,2034-07-15,2023-07-28,2023,1,0,2023.0,9.190754930283447,5.64914318907925,0.011750938940188804,0.0,0.003474155945350102,Environment & Climate,835995299.9899999,0.0,2743840565.81,0.0035798740185981753,0.0,0.0,9.190754930283447,5.64914318907925,10072232.53,0.01466038408646366,0.003474155945350102
2024-06-30,IBRD94870,IN,FSL,DISBURSING,0.0,P174593,AIRBMP,108000000.0,0.0,89468963.72,18531036.28,0.0,18531036.28,0.0,18531036.28,108000000.0,2027-07-15,2034-07-15,2023-07-28,2023,1,0,2023.0,9.190754930283447,5.64914318907925,0.011750938940188804,0.0,0.003432334365144196,Environment & Climate,1538076011.24,0.0,2743840565.81,0.0035798740185981753,0.0,0.0,9.190754930283447,5.64914318907925,18531036.28,0.014618562506257753,0.003432334365144196
2024-07-31,IBRD94870,IN,FSL,DISBURSING,0.0,P174593,AIRBMP,108000000.0,0.0,89468963.72,18531036.28,0.0,18531036.28,0.0,18531036.28,108000000.0,2027-07-15,2034-07-15,2023-07-28,2023,1,0,2023.0,9.190754930283447,5.64914318907925,0.011750938940188804,0.0,0.003432334365144196,Environment & Climate,1538076011.24,0.0,2743840565.81,0.0035798740185981753,0.0,0.0,9.190754930283447,5.64914318907925,18531036.28,0.014618562506257753,0.003432334365144196
2024-08-31,IBRD94870,IN,FSL,DISBURSING,0.0,P174593,AIRBMP,108000000.0,0.0,89434046.17,18565953.83,0.0,18565953.83,0.0,18565953.83,108000000.0,2027-07-15,2034-07-15,2023-07-28,2023,1,0,2023.0,9.190754930283447,5.64914318907925,0.011750938940188804,0.0,0.003432334365144196,Environment & Climate,1540974167.8899999,0.0,2743840565.81,0.0035798740185981753,0.0,0.0,9.190754930283447,5.64914318907925,18565953.83,0.014618562506257753,0.003432334365144196
